metro,PctCycWalkWorkers,DeathsPer100k,population,deaths2workers
Anaheim-Santa Ana-Irvine MD,2.434858974,33.00618228,3172133,13.55568542
Bakersfield MSA,1.247739528,46.96713297,702619,37.64177693
Carson City Metropolitan,1.957765936,34.50834239,57957,17.6263882
CenCal,5.583882364,45.93084737,374476,8.225611568
Chico MSA,6.458927528,48.42726686,173456,7.497725691
Eastern Sierras,5.881626097,27.23360991,55079,4.630285819
El Centro MSA,2.51075302,30.99690031,200020,12.34565888
Elko Micropolitan,3.307313065,9.979044008,40084,3.017266225
Fallon Micropolitan,4.545454545,22.05558006,9068,4.852227614
Fernley Micropolitan,1.104294479,17.71636106,45156,16.04314918
Fresno MSA,1.933753838,42.53745364,846313,21.99734671
Gardnerville Ranchos Micropolitan,0.932090546,14.98576352,33365,16.07758344
Hanford-Corcoran MSA,2.189397005,25.41244397,98377,11.60705158
Las Vegas-Henderson-Paradise Metropolitan,1.617450644,43.73146637,1961974,27.03728026
Los Angeles-Long Beach-Glendale MD,3.391436698,41.80541622,8515643,12.32675705
Madera MSA,1.901916491,41.54204055,108324,21.84220009
Merced MSA,2.381215775,42.46104199,306163,17.831665
Modesto MSA,1.658855718,40.84121228,685582,24.62011123
Napa MSA,4.086992382,16.47589317,115320,4.031300191
Oakland-Hayward-Berkeley MD,4.477035475,27.86257396,2045755,6.223442749
Oxnard-Thousand Oaks-Ventura MSA,1.87905926,24.08980857,904947,12.82014308
Pahrump Micropolitan,2.425502426,47.09095618,42471,19.41492851
Redding MSA,3.192397297,40.60142498,152704,12.71816168
Reno Metropolitan,3.114539136,43.64271167,405566,14.0125745
Riverside-San Bernardino-Ontario MSA,1.562451432,44.81037813,3758058,28.67953347
Rural Nevada,5.691056911,36.72757323,10891,6.453559295
Sacramento-Roseville-Arden-Arcade MSA,3.487248027,37.52219284,1817591,10.75982911
Salinas MSA,3.069394317,27.95095539,375658,9.106342329
San Diego-Carlsbad MSA,3.109224282,39.15271147,3018948,12.59243719
San Francisco-Redwood City-South San Francisco MD,12.19067825,33.35203541,1283280,2.735863807
San Jose MSA,3.792134041,32.15257006,1797679,8.478753577
San Luis Obispo-Paso Robles-Arroyo Grande MSA,5.868123689,23.99084657,162562,4.088333485
San Rafael MD,3.99055321,20.84978676,158275,5.224786055
Santa Cruz-Watsonville MSA,7.957684516,34.26904544,239283,4.306409153
Santa Maria-Santa Barbara MSA,5.612859804,27.30412702,366245,4.86456601
Santa Rosa MSA,3.072037358,28.83766724,343301,9.387147316
Stockton-Lodi MSA,1.667419287,39.36892838,650259,23.61069509
Vallejo-Fairfield MSA,1.670310008,31.42600101,649144,18.81447209
Visalia-Porterville MSA,1.622466683,40.92606887,386062,25.22459739
Winnemucca Micropolitan,11.72566372,12.01201201,8325,1.024420647
Yuba City MSA,1.591841811,38.21694998,130832,24.00800741
